SL.,Division,Name,Address
53,KHULNA,DAULATPUR ATM,"S.S Center, 1/1 Upper Jashore Road, Daulatpur,Khulna."
54,DHAKA,DEPZ ATM,"DEPZ Extension area, DEPZ, Savar, Dhaka"
55,DHAKA,DEPZ BRANCH ATM,"Mazid Tower, PO:Gazir Chat,PS: Ashulia, Baipail, Savar, Dhaka"
56,DHAKA,DHANMONDI 27(NEW) ATM,"House-405/C, Road-27 (Old) 16(New), Dhanmondi, Dhaka, 1209"
57,DHAKA,DHANMONDI 4/A ATM,"BETS Center, Baitul Iqra, House- 15, Road- 4/A, Dhanmondi R. A., Dhaka"
58,DHAKA,DHANMONDI BRANCH ATM,"House ? 21, Road- 8, Dhanmondi R. A., Dhaka"
59,DHAKA,DHANMONDI MAIN BRANCH ATM,"SUVASTU ZENIM PLAZA, Holding No. 312 (Old), Road# 37, (Old 27), Dhanmondi, Dhaka."
60,DHAKA,DHANMONDI-6 ATM,"House-09, Road-06 ( Former), Bhasa Sainik Abul Kalam Shamsuddin Sarak, Dhanmondi R.A., Dhaka"
61,DHAKA,DHK. CANT. KACHOKET ATM,"Rajanigandha Super Market Area.Kachoket Bazar ,Dhaka"
62,DHAKA,DHK. CANT.ECB CHATTAR ATM,"Online Center, 572/L, Matikata, Mirpur DOHS Road, ECB Chattar, Dhaka Cantonment, Dhaka-1206.??"
63,Rajshahi,DINAJPUR SUB BRANCH ATM,"Northern Plaza, 1019-984/1 Ganeshtola, Dinajpur Sadar, P.S: Kotwali, Dinajpur"
64,DHAKA,DOHAR BRANCH ATM,"Ashraf Ali Chowdhury Plaza, Joypara College, Joypara Bazar, Dohar,?Dhaka"
65,CHATTOGRAM,DOHAZARI BR ATM,"Hazari Tower, First Floor, Dohazari, Chandanaish, Chattogram-4382"
66,DHAKA,DOYAGONJ SUB BRANCH ATM,"30/1 MONIR HOSSAIN LANE, Narinda, Dhaka."
67,DHAKA,EAST PANTHOPATH ATM,"4 Panthopath, Royel Tower, Dhaka"
68,DHAKA,EASTERN MOLLIKA ATM,"Eastern Mollika Shopping City, 26/ 1-2 Elephant Road, Dhaka"
69,DHAKA,EASTERN PLUS ATM,"Eastern Plus, 145 Shantinagar, Dhaka"
70,Chattogram,EVERCARE CTG. ATM,"Evercare Hospital Chattogram, Plot No: H1, Ananna R/A, CDA, Hathazari, Chattogram"
71,DHAKA,FAKIRAPOOL ATM,"118 DIT Extension Road, Fakirpool"
72,DHAKA,FARIDPUR BRANCH ATM,"7/216 Golpukur Shopping Complex, Alipur, Faridpur"
73,DHAKA,FARIDPUR OFFSITE ATM,"Khandokar Mansion, House No-74, Niltuli Masjid Bari Road, Faridpur"
74,SYLHET,FENCHUGANJ BRANCH ATM,"Tuta Mia Mansion Fenchuganj Bazar, Fenchuganj, Sylhet"
75,CHATTOGRAM,FENI ATM,"238 S S K Road, Feni, Chattogram"
76,CHATTOGRAM,FINLAY SQUARE 2ND ATM,"Finlay Square, 5 Sholo Shahar, East Nasirabd, beside Biplob Udyan, 2 no. gate, Chattogram."
77,CHATTOGRAM,FINLAY SQUARE ATM,"Finlay Square, 5 Sholo Shahar, East Nasirabd, beside Biplob Udyan, 2 no. gate, Chattogram."
78,DHAKA,FIRMGATE ATM,"115/ A Airport Road, Tejgaon, (Opposite to Tejgaon Thana), Dhaka-1215"
79,DHAKA,FOREIGN MINISTRY ATM,"Ministry of Foreign Affairs, Government of the People?s Republic of Bangladesh, Shegunbagicha, Dhaka-1000"
80,CHATTOGRAM,FORTUNE MALL ATM,"EQUITY GF FORTUNE MALL, Hill View Road, 1 No Bayzid Bostami Road, Nasirabad, Chattogram."
81,KHULNA,FULBARIGATE BRANCH ATM,"Fulbarigate, Jogipol Union, PS- Khanjahan Ali, Dist: Khulna"
82,DHAKA,GAZIPUR PARAGON ATM,"Paragon Poultry Limited (Feed Division), Baniarchala, Memberbari, Gazipur"
83,CHATTOGRAM,GP CHATTOGRAM ATM,"Grameenphone Ltd.,Chattogram Regional Office, Pahartoli, Ambagan, Khulshi,Chattogram"
