SL No,ATM Name,Address
2,"R N D Road, Lalbag FT - 3 ATM","47 R N D Road,  (Rajnarayan Dhar Road), Lalbagh, Dhaka - 1211"
3,Sk. Borhanuddin College FT - 1 ATM,"Sheikh Borhanuddin Post Graduate College, 62, Nazim Uddin Road, Dhaka ? 1000"
4,Sk. Borhanuddin College FT - 2 ATM,"Sheikh Borhanuddin Post Graduate College, 62, Nazim Uddin Road, Dhaka ? 1000"
5,Sk. Borhanuddin College FT - 3 ATM,"Sheikh Borhanuddin Post Graduate College, 62, Nazim Uddin Road, Dhaka ? 1000"
6,Sk. Borhanuddin College FT - 4 ATM,"Sheikh Borhanuddin Post Graduate College, 62, Nazim Uddin Road, Dhaka ? 1000"
7,Lalbag FT - 1 ATM,"52, Horonath Ghose Road, Lalbagh, Dhaka"
8,Lalbag FT - 2 ATM,"52, Horonath Ghose Road, Lalbagh, Dhaka"
9,Lalbag FT - 3 ATM,"52, Horonath Ghose Road, Lalbagh, Dhaka"
10,Lalbag FT - 4 ATM,"52, Horonath Ghose Road, Lalbagh, Dhaka"
11,"Lalbag - 1, Dhaka ATM","92, Lalbag Road, Dhaka - 1211"
12,"Lalbag - 2, Dhaka ATM","92, Lalbag Road, Dhaka - 1211"
13,"Lalbag - 3, Dhaka ATM","92, Lalbag Road, Dhaka - 1211"
14,"R N D Road, Lalbag FT-4 ATM","47 R.N.D Road, (Rajnarayan Dhar Road), Lalbagh, Dhaka-1211."
15,"R N D Road, Lalbag FT - 1 ATM","47 R N D Road,  (Rajnarayan Dhar Road), Lalbagh, Dhaka - 1211"
16,Central Jail Gate ATM,"1 Nazim Uddin Road, Near Central Jail Gate, Kotoali, Dhaka"
17,Central Jail Gate - 2 ATM,"1 Nazim Uddin Road, Near Central Jail Gate, Kotoali, Dhaka"
1,Lalmatia Girls School FT-1 ATM,"Holding-9/15, Lalmatia Girls High School, Zakir Hossain Road, Lalmatia, Mohammadpur, Dhaka-1207."
2,Lalmatia Girls School FT-2 ATM,"Holding-9/15, Lalmatia Girls High School, Zakir Hossain Road, Lalmatia, Mohammadpur, Dhaka-1207."
3,Lalmatia Girls School FT-3 ATM,"Holding-9/15, Lalmatia Girls High School, Zakir Hossain Road, Lalmatia, Mohammadpur, Dhaka-1207."
1,"UIU, Dhaka","United International University (UIU), United City, Madani Avenue, Satarkul 100 feet Road, Badda, Dh"
2,"UIU, Dhaka","United International University (UIU), United City, Madani Avenue, Satarkul 100 feet Road, Badda, Dh"
1,Malibag Rail Gate FT - 1 ATM,"485, Malibagh D.I.T Road, Dhaka"
2,Malibag Rail Gate FT - 2 ATM,"485, Malibagh D.I.T Road, Dhaka"
3,Malibag Rail Gate FT - 3 ATM,"485, Malibagh D.I.T Road, Dhaka"
4,Malibag Rail Gate FT - 4 ATM,"485, Malibagh D.I.T Road, Dhaka"
1,South Mugdapara FT - 1 ATM,"1/37/D South Mugdapara, Dhaka - 1214"
2,South Mugdapara FT - 2 ATM,"1/37/D South Mugdapara, Dhaka - 1214"
3,South Mugdapara FT - 3 ATM,"1/37/D South Mugdapara, Dhaka - 1214"
4,South Mugdapara FT - 5 ATM,"1/37/D South Mugdapara, Dhaka - 1214"
1,Meghula SME Branch - 1 ATM,"Meghula Bazar, Dohar, Dhaka"
2,Meghula SME Branch - 2 ATM,"Meghula Bazar, Dohar, Dhaka"
1,MERADIA BZR FT1 DHK,"Apple White, Holding - 27/29, Meradia-Khilgaon Road, Meradia, Dhaka - 1219"
2,MERADIA BZR FT2 DHK,"Apple White, Holding - 27/29, Meradia-Khilgaon Road, Meradia, Dhaka - 1219"
3,MERADIA BZR FT3 DHK,"Apple White, Holding - 27/29, Meradia-Khilgaon Road, Meradia, Dhaka - 1219"
1,B B Training Academy ATM,"Bangladesh Bank Training Academy (BBTA), Mirpur-2, Dhaka-1216"
2,"BK Complex FT-1, Mazar Rd. ATM","Bokhtiar Khan Complex, Holding-252, Mazar Road, Mirpur, Dhaka-1216."
3,"Section-2 , Rd-5 FT-1, Mirpur","Mirpur ADC Center, Holding-72, Road-5, Block-A Section-2, Mirpur, Dhaka-1216."
4,"Section-2 , Rd-5 FT-2, Mirpur","Mirpur ADC Center, Holding-72, Road-5, Block-A Section-2, Mirpur, Dhaka-1216."
5,"Section-2 , Rd-5 FT-3, Mirpur","Mirpur ADC Center, Holding-72, Road-5, Block-A Section-2, Mirpur, Dhaka-1216."
6,"Zoo Road FT-4, Dhaka ATM","Jawad Tower,Plot-74, Road-2, Block-D, Section-2, Zoo Road, Mirpur, Dhaka-1216."
7,Delta Hospital FT-2,"Delta Hospital Ltd. 26/2 Darus Salam Road, Mirpur, Dhaka-1216."
8,Delta Hospital FT-1,"Delta Hospital Ltd. 26/2 Darus Salam Road, Mirpur, Dhaka-1216."
9,"Zoo Road FT-2, Dhaka ATM","Jawad Tower,Plot-74, Road-2, Block-D, Section-2, Zoo Road, Mirpur, Dhaka-1216."
10,"Zoo Road FT-3, Dhaka ATM","Jawad Tower,Plot-74, Road-2, Block-D, Section-2, Zoo Road, Mirpur, Dhaka-1216."
11,Mirpur Circle-10 Branch FT - 3,"â??Gemcon EL Mercadoâ??, 114, Begum Rokeya Sarani, Mirpur Circle - 10, Dhaka"
12,Delta Hospital FT-4,"Delta Hospital Ltd. 26/2 Darus Salam Road, Mirpur, Dhaka-1216."
13,"BK Complex FT-4, Mazar Rd. ATM","Bokhtiar Khan Complex, Holding-252, Mazar Road, Mirpur, Dhaka-1216."
14,"Zoo Road FT-1, Dhaka ATM","Jawad Tower,Plot-74, Road-2, Block-D, Section-2, Zoo Road, Mirpur, Dhaka-1216."
15,Delta Hospital FT-3,"Delta Hospital Ltd. 26/2 Darus Salam Road, Mirpur, Dhaka-1216."
16,"BK Complex FT-3, Mazar Rd. ATM","Bokhtiar Khan Complex, Holding-252, Mazar Road, Mirpur, Dhaka-1216."
1,Mirpur-2 FT - 1 ATM,"House # 40, Road # 10, Block # H, Mirpur - 2, Dhaka - 1216"
2,Mirpur-2 FT - 2 ATM,"House # 40, Road # 10, Block # H, Mirpur - 2, Dhaka - 1216"
3,Mirpur Sec # 1 FT - 1 ATM,"House # 2, Road # 6, Block # F, Section - 1, Mirpur, Dhaka - 1216"
4,Mirpur Sec # 1 FT - 2 ATM,"House # 2, Road # 6, Block # F, Section - 1, Mirpur, Dhaka - 1216"
5,Mirpur Sec # 1 FT - 3 ATM,"House # 2, Road # 6, Block # F, Section - 1, Mirpur, Dhaka - 1216"
6,Mirpur Sec # 1 FT - 4 ATM,"House # 2, Road # 6, Block # F, Section - 1, Mirpur, Dhaka - 1216"
7,"Mazar Road FT - 1, Mirpur ATM","280, Mazar Road, 1st Colony, Mirpur, Dhaka - 1216"
8,"Mazar Road FT - 2, Mirpur ATM","280, Mazar Road, 1st Colony, Mirpur, Dhaka - 1216"
9,"Mazar Road FT - 3, Mirpur ATM","280, Mazar Road, 1st Colony, Mirpur, Dhaka - 1216"
10,"Mazar Road FT - 4, Mirpur ATM","280, Mazar Road, 1st Colony, Mirpur, Dhaka - 1216"
11,Mirpur-2 FT - 3 ATM,"House # 40, Road # 10, Block # H, Mirpur - 2, Dhaka - 1216"
12,Mirpur-2 FT - 4 ATM,"House # 40, Road # 10, Block # H, Mirpur - 2, Dhaka - 1216"
13,Mirpur - 1 FT - 2 ATM,"Chand Plaza, 10 Darus Salam Road, Mirpur - 1, Dhaka - 1216"
14,Mirpur - 1 FT - 3 ATM,"Chand Plaza, 10 Darus Salam Road, Mirpur - 1, Dhaka - 1216"
15,Mirpur - 1 FT - 4 ATM,"Chand Plaza, 10 Darus Salam Road, Mirpur - 1, Dhaka - 1216"
16,Mirpur - 1 FT - 5 ATM,"Chand Plaza, 10 Darus Salam Road, Mirpur - 1, Dhaka - 1216"
17,Mirpur - 1 FT - 6 ATM,"Chand Plaza, 10 Darus Salam Road, Mirpur - 1, Dhaka - 1216"
18,Mirpur - 1 FT - 7 ATM,"Chand Plaza, 10 Darus Salam Road, Mirpur - 1, Dhaka - 1216"
19,"Arambagh - 1, Mirpur ATM","D/2 Arambagh Housing, Section - 7, Mirpur, Dhaka"
20,"Arambagh - 2, Mirpur ATM","D/2 Arambagh Housing, Section - 7, Mirpur, Dhaka"
21,"South Pirerbagh, Mirpur FT - 1 ATM","Holding # 267/1/A, South Pirerbagh, Mirpur, Dhaka"
22,"South Pirerbagh, Mirpur FT - 2 ATM","Holding # 267/1/A, South Pirerbagh, Mirpur, Dhaka"
23,"South Pirerbagh, Mirpur FT - 3 ATM","Holding # 267/1/A, South Pirerbagh, Mirpur, Dhaka"
24,"South Pirerbagh, Mirpur FT - 4 ATM","Holding # 267/1/A, South Pirerbagh, Mirpur, Dhaka"
1,"Senpara FT-6, Mirpur ATM","Plot-28, Main Road-1, Section-10, Mirpur-10, Dhaka."
2,"CRP FT-3, Mirpur ATM","Center for Rehabilitation of the Paralysed (CRP), Plot-A/5, Block-A, Section-14, Mirpur, Dhaka-1206."
3,"CRP FT-1, Mirpur ATM","Center for Rehabilitation of the Paralysed (CRP), Plot-A/5, Block-A, Section-14, Mirpur, Dhaka-1206."
4,Mirpur 10 FT-2 ATM,"House-1, Block-A, Road, 4, Section-6, Mirpur, Dhaka-1216."
5,"Banarashi Palli FT-2, Mirpur","Holding-1/17, Shaheed Abu Taleb High School Building-2, Banarasi Palli Gate-1, Mirpur, Dhaka-1218."
6,"Senpara FT-5, Mirpur ATM","Plot-28, Main Road-1, Section-10, Mirpur-10, Dhaka."
7,Mirpur 6 FT - 3 ATM,"Dhanshiri Arched, House # 32/1, Avenue Road, Ward No # 2, Block - B, Sector - 6, Mirpur, Dhaka - 1216"
8,Mirpur 10 Branch - 1 ATM,"Central Plaza, 231, Senpara Parbata, Mirpur - 10, (Goal Chakkar), Dhaka"
9,"Senpara FT - 3, Mirpur ATM","House # 28, Road # 11, Section # 10, Senpara, Mirpur, Dhaka"
10,"Senpara FT - 4, Mirpur ATM","House # 28, Road # 11, Section # 10, Senpara, Mirpur, Dhaka"
11,"Senpara FT - 1, Mirpur ATM","House # 28, Road # 11, Section # 10, Senpara, Mirpur, Dhaka"
12,"Senpara FT - 2, Mirpur ATM","House # 28, Road # 11, Section # 10, Senpara, Mirpur, Dhaka - 1216"
13,Mirpur 10 Branch - 2 ATM,"Central Plaza, 231, Senpara Parbata, Mirpur - 10, (Goal Chakkar), Dhaka"
14,Mirpur 10 Branch - 3 ATM,"Central Plaza, 231, Senpara Parbata, Mirpur - 10, (Goal Chakkar), Dhaka"
15,Mirpur 10 Branch - 4 ATM,"Central Plaza, 231, Senpara Parbata, Mirpur - 10, (Goal Chakkar), Dhaka"
16,Mirpur 6 FT - 1 ATM,"Dhanshiri Arched, House # 32/1, Avenue Road, Ward No # 2, Block - B, Sector - 6, Mirpur, Dhaka - 1216"
17,Mirpur 6 FT - 2 ATM,"Dhanshiri Arched, House # 32/1, Avenue Road, Ward No # 2, Block - B, Sector - 6, Mirpur, Dhaka - 1216"
18,Mirpur 6 FT - 4 ATM,"Dhanshiri Arched, House # 32/1, Avenue Road, Ward No # 2, Block - B, Sector - 6, Mirpur, Dhaka - 1216"
19,"60 Feet Road FT-1, Mirpur ATM","Holding-56/1, 60 feet Road, (opposite of Monipur School), West Monipur, Mirpur-2, Dhaka-1216."
20,"CRP FT-2, Mirpur ATM","Center for Rehabilitation of the Paralysed (CRP), Plot-A/5, Block-A, Section-14, Mirpur, Dhaka-1206."
21,"Banarashi Palli FT-1, Mirpur","Holding-1/17, Shaheed Abu Taleb High School Building-2, Banarasi Palli Gate-1, Mirpur, Dhaka-1218."
22,Mirpur 10 FT-3 ATM,"House-1, Block-A, Road, 4, Section-6, Mirpur, Dhaka-1216."
23,Mirpur 10 FT-4 ATM,"House-1, Block-A, Road, 4, Section-6, Mirpur, Dhaka-1216."
24,"Banarashi Palli FT-3, Mirpur","Holding-1/17, Shaheed Abu Taleb High School Building-2, Banarasi Palli Gate-1, Mirpur, Dhaka-1218."
25,"Banarashi Palli FT-4, Mirpur","Holding-1/17, Shaheed Abu Taleb High School Building-2, Banarasi Palli Gate-1, Mirpur, Dhaka-1218."
26,"60 Feet Road FT-2, Mirpur ATM","Holding-56/1, 60 feet Road, (opposite of Monipur School), West Monipur, Mirpur-2, Dhaka-1216."
27,Mirpur 10 FT-1 ATM,"House-1, Block-A, Road, 4, Section-6, Mirpur, Dhaka-1216."
1,"Madhubag  FT-2, Moghbazar ATM","Hazi Bhaban, Holding No. 358/3A, wireless Road, Ward-36 (55) old, Madhubag, Moghbazar, Dhaka."
2,"Madhubag  FT-3, Moghbazar ATM","Hazi Bhaban, Holding No. 358/3A, wireless Road, Ward-36 (55) old, Madhubag, Moghbazar, Dhaka."
3,"Madhubag  FT-4, Moghbazar ATM","Hazi Bhaban, Holding No. 358/3A, wireless Road, Ward-36 (55) old, Madhubag, Moghbazar, Dhaka."
4,"Madhubag  FT-5, Moghbazar ATM","Hazi Bhaban, Holding No. 358/3A, wireless Road, Ward-36 (55) old, Madhubag, Moghbazar, Dhaka."
5,Moghbazar Branch FT-1 ATM,"Green Satmahal, Holding - 206,207,208, Boro Maghbazar, Dhaka."
6,Moghbazar Branch FT-3 ATM,"Green Satmahal, Holding - 206,207,208, Boro Maghbazar, Dhaka."
7,Moghbazar Branch FT-2 ATM,"Green Satmahal, Holding - 206,207,208, Boro Maghbazar, Dhaka."
8,Nayatola  FT - 4 Moghbazar ATM,"Holding - 550, Nayatola, Ward No. 36, Moghbazar, Dhaka."
9,Nayatola  FT - 1 Moghbazar ATM,"Holding - 550, Nayatola, Ward No. 36, Moghbazar, Dhaka."
10,"Century Arched, Moghbazar FT - 1 ATM","D/8-9, Century Arched, Moghbazar, Dhaka"
11,Nayatola  FT - 2 Moghbazar ATM,"Holding - 550, Nayatola, Ward No. 36, Moghbazar, Dhaka."
12,"Century Arched, Moghbazar FT - 2 ATM","D/8-9, Century Arched, Moghbazar, Dhaka"
13,"Century Arched, Moghbazar FT - 3 ATM","D/8-9, Century Arched, Moghbazar, Dhaka"
14,"Century Arched, Moghbazar FT - 4 ATM","D/8-9, Century Arched, Moghbazar, Dhaka"
15,"Waqf Bhaban FT-1 , Eskaton ATM","4, New Eskaton Road, Dhaka-1000."
16,"Waqf Bhaban FT-2 , Eskaton ATM","4, New Eskaton Road, Dhaka-1000."
1,BRAC University FT -1 ATM,"F-151 Mohakhali (Near BRAC University), Dhaka."
2,"Amtoli FT-4, Mohakhali ATM","Holding No-78/1, New Airport Road, Amtoli, Mohakhali, Dhaka."
3,Mohakhali Kacha Bazar FT - 1 ATM,"Holding # 47- 48, Mohakhali Bazar, Gulshan, Dhaka - 1213"
4,Mohakhali Kacha Bazar FT - 5 ATM,"Holding # 47- 48, Mohakhali Bazar, Gulshan, Dhaka - 1213"
5,Mohakhali Kacha Bazar FT - 2 ATM,"Holding # 47- 48, Mohakhali Bazar, Gulshan, Dhaka - 1213"
6,Mohakhali Kacha Bazar FT - 3 ATM,"Holding # 47- 48, Mohakhali Bazar, Gulshan, Dhaka - 1213"
7,"Amtoli FT - 1, Mohakhali ATM","Holding No - 78/1, New Airport Road, Amtoli, Mohakhali, Dhaka"
8,"Amtoli FT - 2, Mohakhali ATM","Holding No - 78/1, New Airport Road, Amtoli, Mohakhali, Dhaka"
9,"Amtoli FT - 3, Mohakhali ATM","Holding No - 78/1, New Airport Road, Amtoli, Mohakhali, Dhaka"
10,Mohakhali Kacha Bazar FT - 4 ATM,"Holding # 47- 48, Mohakhali Bazar, Gulshan, Dhaka - 1213"
11,Mohakhali Kacha Bazar FT - 6 ,"Holding - 47-48, Mohakhali Bazar, Gulshan, Dhaka"
12,BRAC University FT -3 ATM,"F-151 Mohakhali (Near BRAC University), Dhaka."
13,BRAC University FT -2 ATM,"F-151 Mohakhali (Near BRAC University), Dhaka."
14,Madona Twr FT-1 Dhk,"Medona Tower, 28 Mohakhali C/A, Dhaka-1212."
15,Madona Twr FT-2 Dhk,"Medona Tower, 28 Mohakhali C/A, Dhaka-1212."
16,Madona Twr FT-3 Dhk,"Medona Tower, 28 Mohakhali C/A, Dhaka-1212."
17,Madona Twr FT-4 Dhk,"Medona Tower, 28 Mohakhali C/A, Dhaka-1212."
1,Mohammadi HS FT-1 ATM,"House-27, Main Road, Mohammadia Housing Society, Mohammadpur, Dhaka-1207"
2,Mohammadi HS FT-2 ATM,"House-27, Main Road, Mohammadia Housing Society, Mohammadpur, Dhaka-1207"
3,Mohammadi HS FT-3 ATM,"House-27, Main Road, Mohammadia Housing Society, Mohammadpur, Dhaka-1207"
4,Mohammadi HS FT-4 ATM,"House-27, Main Road, Mohammadia Housing Society, Mohammadpur, Dhaka-1207"
5,"Tajmohal Rd. FT-1, Mohammadpur","12/9 Tajmohal Road, Block-C, Mohammadpur, Dhaka-1207."
6,Sher-e-Bangla Agri University-2 ATM,"Sher - e - Bangla Nagar, Agargaon, Dhaka - 1207"
7,College Gate - 1 ATM,"College Gate, 12 Gojnobi Road, Dhaka - 1207"
8,College Gate - 2 ATM,"College Gate, 12 Gojnobi Road, Dhaka - 1207"
9,College Gate - 3 ATM,"College Gate, 12 Gojnobi Road, Dhaka - 1207"
10,College Gate - 4 ATM,"College Gate, 12 Gojnobi Road, Dhaka - 1207"
11,"Bashbari FT - 1, Mohammadpur ATM","29 G/B Block - D, Bashbari, Mohammadpur, Dhaka"
12,"Bashbari FT - 2, Mohammadpur ATM","29 G/B Block - D, Bashbari, Mohammadpur, Dhaka"
13,"Bashbari FT - 3, Mohammadpur ATM","29 G/B Block - D, Bashbari, Mohammadpur, Dhaka"
14,"Bashbari FT - 4, Mohammadpur ATM","29 G/B Block - D, Bashbari, Mohammadpur, Dhaka"
15,"Katasur, Mohammadpur FT - 1 ATM","41/A, Katasur, Kaderabad Housing, Mohammadpur, Dhaka"
16,"Katasur, Mohammadpur FT - 2 ATM","41/A, Katasur, Kaderabad Housing, Mohammadpur, Dhaka"
17,"Katasur, Mohammadpur FT - 3 ATM","41/A, Katasur, Kaderabad Housing, Mohammadpur, Dhaka"
18,"Katasur, Mohammadpur FT - 4 ATM","41/A, Katasur, Kaderabad Housing, Mohammadpur, Dhaka"
19,Mohammadpur Bus Stand FT-1,"Nest Osmium, Holding-1/1, Block-E, Mohammadpur Bus Stand, Sat Masjid Road, Dhaka-1207."
20,Mohammadpur Bus Stand FT-2,"Nest Osmium, Holding-1/1, Block-E, Mohammadpur Bus Stand, Sat Masjid Road, Dhaka-1207."
21,Mohammadpur Bus Stand FT-3,"Nest Osmium, Holding-1/1, Block-E, Mohammadpur Bus Stand, Sat Masjid Road, Dhaka-1207."
22,"Tikka Para FT-5, Mohammadpur","18/10 Tikkapara, Ring Road Mohammadpur, Dhaka."
23,"Tajmohal Rd. FT-2, Mohammadpur","12/9 Tajmohal Road, Block-C, Mohammadpur, Dhaka-1207."
24,"Dhaka Uddan FT-3, Dhaka ATM","Dhaka Uddan, Holding-54, Haji Dil Mohammad Avenue, Mohammadpur, Dhaka-1207."
25,"Tajmohal Rd. FT-3, Mohammadpur","12/9 Tajmohal Road, Block-C, Mohammadpur, Dhaka-1207."
26,"Dhaka Uddan FT-1, Dhaka ATM","Dhaka Uddan, Holding-54, Haji Dil Mohammad Avenue, Mohammadpur, Dhaka-1207."
27,Asad Avenue FT - 1 ATM,"71/C, Asad Avenue, Mohammadpur, Dhaka - 1207"
28,Asad Avenue FT - 2 ATM,"71/C, Asad Avenue, Mohammadpur, Dhaka - 1207"
29,Asad Avenue FT - 4 ATM,"71/C, Asad Avenue, Mohammadpur, Dhaka - 1207"
30,Sher-e-Bangla Agri University ATM,"Sher - e - Bangla Nagar, Agargaon, Dhaka - 1207"
31,Nurjahan Road FT - 4 ATM,"P/28, Nur Jahan Road, Mohammadpur, Dhaka - 1207"
32,Shere Bangla AU ESB - 1 ATM,"Sher-E-Bangla Nagar, Agricultural University, Agargaon, Dhaka - 1207"
33,Shere Bangla AU ESB - 2 ATM,"Sher-E-Bangla Nagar, Agricultural University, Agargaon, Dhaka - 1207"
34,Krishi Market FT - 1 ATM,"31/23, Block # C, Tajmal Road (Krishi Market), Mohammadpur, Dhaka - 1207"
35,Krishi Market FT - 2 ATM,"31/23, Block # C, Tajmal Road (Krishi Market), Mohammadpur, Dhaka - 1207"
36,Krishi Market FT - 3 ATM,"31/23, Block # C, Tajmal Road (Krishi Market), Mohammadpur, Dhaka - 1207"
37,Krishi Market FT - 4 ATM,"31/23, Block # C, Tajmal Road (Krishi Market), Mohammadpur, Dhaka - 1207"
38,Shere Bangla AU ESB - 3 ATM,"Sher-E-Bangla Nagar, Agricultural University, Agargaon, Dhaka - 1207"
39,Nurjahan Road FT - 1 ATM,"P/28, Nur Jahan Road, Mohammadpur, Dhaka - 1207"
40,Nurjahan Road FT - 2 ATM,"P/28, Nur Jahan Road, Mohammadpur, Dhaka - 1207"
41,Nurjahan Road FT - 3 ATM,"P/28, Nur Jahan Road, Mohammadpur, Dhaka - 1207"
42,Asad Avenue FT - 3 ATM,"71/C, Asad Avenue, Mohammadpur, Dhaka - 1207"
43,"Dhaka Uddan FT-2, Dhaka ATM","Dhaka Uddan, Holding-54, Haji Dil Mohammad Avenue, Mohammadpur, Dhaka-1207."
44,KATASUR FT-5,"41/A, Katasur, Kaderabad Housing, Mohammadpur, Dhaka"
1,Monipuri Para FT - 4 ATM,"5/4-A, Monipuripara, Sangsad Avenue, Tejgaon, Dhaka - 1215"
2,Tejkonipara ATM,"34, Airport Road, Tejkoni Para, Dhaka - 1205, (Opposite Farmgate Police Box)"
3,Monipuri Para FT - 1 ATM,"5/4-A, Monipuripara, Sangsad Avenue, Tejgaon, Dhaka - 1215"
4,Monipuri Para FT - 3 ATM,"5/4-A, Monipuripara, Sangsad Avenue, Tejgaon, Dhaka - 1215"
5,Monipuri Para FT - 2 ATM,"5/4-A, Monipuripara, Sangsad Avenue, Tejgaon, Dhaka - 1215"
1,"Tikatuli FT-1, Dhaka ATM","Kader Height, Holding - 10, Hatkhola Road, Tikatuli, Dhaka"
2,"Tikatuli FT-2, Dhaka ATM","Kader Height, Holding - 10, Hatkhola Road, Tikatuli, Dhaka"
3,"Tikatuli FT-3, Dhaka ATM","Kader Height, Holding - 10, Hatkhola Road, Tikatuli, Dhaka"
4,Fakira Pool FT - 1 ATM,"1/A, DIT Extention Road, Fakirapool, Dhaka - 1000"
5,Fakira Pool FT - 4 ATM,"1/A, DIT Extention Road, Fakirapool, Dhaka - 1000"
6,Fakira Pool FT - 6 ATM,"1/A, DIT Extention Road, Fakirapool, Dhaka - 1000"
7,Fakira Pool FT - 7 ATM,"1/A, DIT Extention Road, Fakirapool, Dhaka - 1000"
8,Dainik Bangla Moor FT - 1 ATM,"2 DIT Avenue Extension, Motijheel C/A, Dhaka - 1000"
9,Dainik Bangla Moor FT - 2 ATM,"2 DIT Avenue Extension, Motijheel C/A, Dhaka - 1000"
10,Dainik Bangla Moor FT - 3 ATM,"2 DIT Avenue Extension, Motijheel C/A, Dhaka - 1000"
11,Dainik Bangla Moor FT - 4 ATM,"2 DIT Avenue Extension, Motijheel C/A, Dhaka - 1000"
12,Dainik Bangla Moor FT - 5 ATM,"2 DIT Avenue Extension, Motijheel C/A, Dhaka - 1000"
13,Corporate Branch FT-5 ATM,"47, Motijheel Commercial Area, Dhaka-1000."
14,"Babe Rahmat FT -1, Dhaka ATM","147 Arambagh, Motijheel Inner Circular Road, Dhaka-1000."
15,"Babe Rahmat FT -2, Dhaka ATM","147 Arambagh, Motijheel Inner Circular Road, Dhaka-1000."
16,"Bangladesh Bank-1, Dhaka","Bangladesh Bank, Motijheel C/A, Dhaka-1000"
17,"Bangladesh Bank-2, Dhaka","Bangladesh Bank, Motijheel C/A, Dhaka-1000"
18,Foreign Exchange Br. FT-2,"City Center, 90/1, Motijheel Commercial Area, Dhaka."
19,Foreign Exchange Br. FT-3,"City Center 90/1, Motijheel Commercial Area, Dhaka."
20,Foreign Exchange Br. FT-4,"City Center 90/1, Motijheel Commercial Area, Dhaka."
21,Corporate Branch FT-3 ATM,"47, Motijheel Commercial Area, Dhaka-1000."
22,Corporate Branch FT-4 ATM,"47, Motijheel Commercial Area, Dhaka-1000."
23,Corporate Branch FT-1 ATM,"47, Motijheel Commercial Area, Dhaka-1000."
24,Corporate Branch FT-2 ATM,"47, Motijheel Commercial Area, Dhaka-1000."
25,Motijheel Corporate Branch-1,"Dutch-Bangla Bank Motijheel Corporate Branch (1st Floor) , 47, Motijheel C/A, Dhaka-1000."
26,Local Office-1 ATM,"1 Dilkusha Commercial Area, Dhaka-1000"
27,Local Office-2 ATM,"1 Dilkusha Commercial Area, Dhaka-1000"
28,Local Office-3 ATM,"1 Dilkusha Commercial Area, Dhaka-1000"
29,Sena Kalyan ATM,"Sena Kalyab Bhaban, 195 Motijheel C/A, Dhaka-1000"
1,"Manda Branch FT-2, Dhaka ATM","Holding No: 145, North Manda, Mugda, Dhaka."
2,"Manda Branch FT-1, Dhaka ATM","Holding No: 145, North Manda, Mugda, Dhaka."
3,"Manda Branch FT-3, Dhaka ATM","Holding No: 145, North Manda, Mugda, Dhaka."
4,Otish Diponkar Road FT-2 ATM,"Jalil Mansion, Otish diponkar Road, Mugdha, Dhaka."
5,Otish Diponkar Road FT-1 ATM,"Jalil Mansion, Otish diponkar Road, Mugdha, Dhaka."
6,Otish Diponkar Road FT-3 ATM,"Jalil Mansion, Otish diponkar Road, Mugdha, Dhaka."
1,"Shikaripara FT - 2, Bandura AT","Shikaripara T.K.M High School, Shikaripara, Bandura, Nawabgonj, Dhaka"
2,"Shikaripara FT - 3, Bandura AT","Shikaripara T.K.M High School, Shikaripara, Bandura, Nawabgonj, Dhaka"
3,"Shikaripara FT - 1, Bandura AT","Shikaripara T.K.M High School, Shikaripara, Bandura, Nawabgonj, Dhaka"
4,Nawabganj Branch-1 ATM,"Raju Complex, Nawabganj Sadar, PO "
5,Nawabganj Branch-2 ATM,"Raju Complex, Nawabganj Sadar, PO "
6,Nawabganj Branch-3 ATM,"Raju Complex, Nawabganj Sadar, PO "
1,"Nayabazar FT-3, Dhaka ATM","Holding-36, Prosonno Poddar Lane, Nayabazar, Dhaka-1100."
2,"Nayabazar FT-1, Dhaka ATM","Holding-36, Prosonno Poddar Lane, Nayabazar, Dhaka-1100."
3,"Nayabazar FT-2, Dhaka ATM","Holding-36, Prosonno Poddar Lane, Nayabazar, Dhaka-1100."
4,"Nayabazar FT-4, Dhaka ATM","Holding-36, Prosonno Poddar Lane, Nayabazar, Dhaka-1100."
1,Gawsia FT-3 ATM,"Spectra Maqsud Tower, Holding No. 65, Elephant Road, Dhaka-1205."
2,"Kader Arch, Mirpur Road FT - 1 ATM","Kader Arched (Gr. Fl.), 33, Mirpur Road, Dhaka - 1205"
3,"Kader Arch, Mirpur Road FT - 2 ATM","Kader Arched (Gr. Fl.), 33, Mirpur Road, Dhaka - 1205"
4,"Kader Arch, Mirpur Road FT - 3 ATM","Kader Arched (Gr. Fl.), 33, Mirpur Road, Dhaka - 1205"
5,"Nilkhet FT - 1, Dhaka ATM","Nilkhet City Corporation Market, Holding # 60 - 61, Nilkhet Road, Lalbagh, Dhaka"
6,"Nilkhet FT - 2, Dhaka ATM","Nilkhet City Corporation Market, Holding # 60 - 61, Nilkhet Road, Lalbagh, Dhaka"
7,"Nilkhet FT - 3, Dhaka ATM","Nilkhet City Corporation Market, Holding # 60 - 61, Nilkhet Road, Lalbagh, Dhaka"
8,"Nilkhet FT - 4, Dhaka ATM","Nilkhet City Corporation Market, Holding # 60 - 61, Nilkhet Road, Lalbagh, Dhaka"
9,"New Market FT-1, Dhaka ATM","Dhaka City New Market Main, Shop No. - 175 and 176, Dhaka New Market, Dhaka."
