SL No,ATM Name,Address
1,BGB 3RD GATE FT-1 DHK,"172, New Paltan Lane( BGB 3rd Gate), Azimpur, Dhaka-1250"
2,BGB 3RD GATE FT-2 DHK,"172, New Paltan Lane( BGB 3rd Gate), Azimpur, Dhaka-1250"
3,BGB 3RD GATE FT-3 DHAKA,"172, New Paltan Lane( BGB 3rd Gate), Azimpur, Dhaka-1250"
4,Salimullah Orphanage - 1 ATM,"Sir Salimullah Muslim Orphanage, 48, Azimpur Road, Dhaka"
5,Salimullah Orphanage - 2 ATM,"Sir Salimullah Muslim Orphanage, 48, Azimpur Road, Dhaka"
6,Salimullah Orphanage - 3 ATM,"Sir Salimullah Muslim Orphanage, 48, Azimpur Road, Dhaka"
7,Azimpur FT - 1 ATM,"295/1, Natun Palton Lane, Azimpur, Dhaka"
8,Azimpur FT - 2 ATM,"295/1, Natun Palton Lane, Azimpur, Dhaka"
9,Azimpur FT - 3 ATM,"295/1, Natun Palton Lane, Azimpur, Dhaka"
10,Azimpur FT - 4 ATM,"295/1, Natun Palton Lane, Azimpur, Dhaka"
1,North Badda FT - 1 ATM,"Cha-88/1, Progati Sarani Road, Uttar Badda, Dhaka"
2,North Badda FT - 2 ATM,"Cha-88/1, Progati Sarani Road, Uttar Badda, Dhaka"
3,North Badda FT - 3 ATM,"Cha-88/1, Progati Sarani Road, Uttar Badda, Dhaka"
4,North Badda FT - 4 ATM,"Cha-88/1, Progati Sarani Road, Uttar Badda, Dhaka"
5,Merul Badda FT - 1 ATM,"Plot # 2, Road # 10, Merul Badda, Dhaka"
6,Merul Badda FT - 2 ATM,"Plot # 2, Road # 10, Merul Badda, Dhaka"
7,Merul Badda FT - 3 ATM,"Plot # 2, Road # 10, Merul Badda, Dhaka"
8,Merul Badda FT - 4 ATM,"Plot # 2, Road # 10, Merul Badda, Dhaka"
9,Gulshan - Badda Link Road FT - 1 ATM,"TA - 98/C, Gulshan - Badda Link Road, Dhaka"
10,Gulshan - Badda Link Road FT - 2 ATM,"TA - 98/C, Gulshan - Badda Link Road, Dhaka"
11,Gulshan - Badda Link Road FT - 3 ATM,"TA - 98/C, Gulshan - Badda Link Road, Dhaka"
12,Gulshan - Badda Link Road FT - 4 ATM,"TA - 98/C, Gulshan - Badda Link Road, Dhaka"
13,"Merul Bus Stand, Badda, Dhaka","Century Centre, Holding - Kha-225, Progoti Shoroni Road, Badda, Dhaka - 1212."
14,"Merul Bus Stand, Badda, Dhaka","Century Centre, Holding - Kha-225, Progoti Shoroni Road, Badda, Dhaka - 1212."
15,"Tropical Mollah Tower, Badda","Tropical Mollah Tower, Holding - Sha-15/1-15/4, Progati Shoroni Road, Badda, Dhaka - 1212. "
16,"Tropical Mollah Tower, Badda","Tropical Mollah Tower, Holding - Sha-15/1-15/4, Progati Shoroni Road, Badda, Dhaka - 1212. "
17,"Tropical Mollah Tower, Badda","Tropical Mollah Tower, Holding - Sha-15/1-15/4, Progati Shoroni Road, Badda, Dhaka - 1212. "
18,Middle Badda FT-5 ATM,"Tropical Mollah Tower, Holding-Sha-15/1-15/4, Progati Shoroni Road, Badda, Dhaka-1212."
1,"Banani FT-1, Dhaka ATM","Borak Mehnur, Holding-51/B, Kemal Ataturk Avenue, Banani, Dhaka-1213."
2,"Banani FT-5, Dhaka ATM","Borak Mehnur, Holding-51/B, Kemal Ataturk Avenue, Banani, Dhaka-1213."
3,"Banani FT-6, Dhaka ATM","Borak Mehnur, Holding-51/B, Kemal Ataturk Avenue, Banani, Dhaka-1213."
4,Banani-11 Block-F FT-1 ATM,"Antarip Holding-2, Bir Uttam Khadimul Bashar Sarak, Block-F,  Road-11, Banani, Dhaka-1213."
5,Banani-11 Block-F FT-2 ATM,"Antarip Holding-2, Bir Uttam Khadimul Bashar Sarak, Block-F,  Road-11, Banani, Dhaka-1213."
6,Banani-11 Block-F FT-3 ATM,"Antarip Holding-2, Bir Uttam Khadimul Bashar Sarak, Block-F,  Road-11, Banani, Dhaka-1213."
7,Banani-11 Block-F FT-4 ATM,"Antarip Holding-2, Bir Uttam Khadimul Bashar Sarak, Block-F,  Road-11, Banani, Dhaka-1213."
8,Banani Road-11 FT-3 ATM,"Ventura Iconia, Holding-37, Road-11, Block-H, Banani, Dhaka-1213."
9,"BTA Tower FT - 1, Banani ATM","BTA Tower, 29, Kamal Ataturk Avenue, Road # 17, Banani, Dhaka - 1213"
10,"BTA Tower FT - 2, Banani ATM","BTA Tower, 29, Kamal Ataturk Avenue, Road # 17, Banani, Dhaka - 1213"
11,"BTA Tower FT - 3, Banani ATM","BTA Tower, 29, Kamal Ataturk Avenue, Road # 17, Banani, Dhaka - 1213"
12,"BTA Tower FT - 4, Banani ATM","BTA Tower, 29, Kamal Ataturk Avenue, Road # 17, Banani, Dhaka - 1213"
13,Anannya Shopping Complex ATM,"DOHS, Baridhara, Dhaka - 1212"
14,Radisson Hotel ATM,"Radisson Water Garden Hotel, Airport Road, Dhaka Cantonment, Dhaka - 1206"
15,"Kakoli FT - 1, Banani ATM","Aziz Mansion, Holding No: 95/4, New Airport Road, Banani, Dhaka"
16,"Kakoli FT - 2, Banani ATM","Aziz Mansion, Holding No: 95/4, New Airport Road, Banani, Dhaka"
17,"Kakoli FT - 3, Banani ATM","Aziz Mansion, Holding No: 95/4, New Airport Road, Banani, Dhaka"
18,"Kakoli FT - 4, Banani ATM","Aziz Mansion, Holding No: 95/4, New Airport Road, Banani, Dhaka"
19,"Banani FT-2, Dhaka ATM","Borak Mehnur, Holding-51/B, Kemal Ataturk Avenue, Banani, Dhaka-1213."
20,"Banani FT-3, Dhaka ATM","Borak Mehnur, Holding-51/B, Kemal Ataturk Avenue, Banani, Dhaka-1213."
21,"Banani FT-4, Dhaka ATM","Borak Mehnur, Holding-51/B, Kemal Ataturk Avenue, Banani, Dhaka-1213."
22,Banani Road-11 FT-1 ATM,"Ventura Iconia, Holding-37, Road-11, Block-H, Banani, Dhaka-1213."
23,Banani Road-11 FT-2 ATM,"Ventura Iconia, Holding-37, Road-11, Block-H, Banani, Dhaka-1213."
24,Kamal Ataturk Avenue FT-3 ATM,"Prashad  Trade Center, Holding - 6, Kamal Ataturk Avenue, Banani, Dhaka."
25,United Hospital ATM,"United Hospital Lobby, Baridhara, D.O.H.S Dhaka - 1212"
